Scenario,Year,Region,Number of Vehicles
HIGHRECOST,2045,OR,470753.7751
HIGHRECOST,2046,OR,478266.5106
HIGHRECOST,2047,OR,485809.1686
HIGHRECOST,2048,OR,493107.5585
HIGHRECOST,2049,OR,500202.8311
HIGHRECOST,2050,OR,507417.3347
HIGHRECOST,2020,WA,221476.2109
HIGHRECOST,2021,WA,238225.9471
HIGHRECOST,2022,WA,259378.1963
HIGHRECOST,2023,WA,284539.5406
HIGHRECOST,2024,WA,312285.35
HIGHRECOST,2025,WA,343380.5699
HIGHRECOST,2026,WA,379491.2304
HIGHRECOST,2027,WA,415539.3292
HIGHRECOST,2028,WA,450537.1139
HIGHRECOST,2029,WA,484714.4764
HIGHRECOST,2030,WA,518977.8579
HIGHRECOST,2031,WA,553247.0746
HIGHRECOST,2032,WA,586046.8678
HIGHRECOST,2033,WA,617494.5839
HIGHRECOST,2034,WA,647080.7365
HIGHRECOST,2035,WA,674141.9912
HIGHRECOST,2036,WA,702015.9746
HIGHRECOST,2037,WA,726698.049
HIGHRECOST,2038,WA,748130.5001
HIGHRECOST,2039,WA,767163.8264
HIGHRECOST,2040,WA,784076.4657
HIGHRECOST,2041,WA,801868.5691
HIGHRECOST,2042,WA,818183.3467
HIGHRECOST,2043,WA,833538.5879
HIGHRECOST,2044,WA,848144.091
HIGHRECOST,2045,WA,861841.5268
HIGHRECOST,2046,WA,875595.6117
HIGHRECOST,2047,WA,889404.4779
HIGHRECOST,2048,WA,902766.1456
HIGHRECOST,2049,WA,915755.9524
HIGHRECOST,2050,WA,928964.0436
HIGHRECOST,2020,ID,51181.4773
HIGHRECOST,2021,ID,55052.21467
HIGHRECOST,2022,ID,59940.33948
HIGHRECOST,2023,ID,65754.93586
HIGHRECOST,2024,ID,72166.78257
HIGHRECOST,2025,ID,79352.6527
HIGHRECOST,2026,ID,87697.55325
HIGHRECOST,2027,ID,96027.99624
HIGHRECOST,2028,ID,104115.7196
HIGHRECOST,2029,ID,112013.8496
HIGHRECOST,2030,ID,119931.8579
HIGHRECOST,2031,ID,127851.2147
HIGHRECOST,2032,ID,135430.9989
HIGHRECOST,2033,ID,142698.3282
HIGHRECOST,2034,ID,149535.4643
HIGHRECOST,2035,ID,155789.1156
HIGHRECOST,2036,ID,162230.5824
HIGHRECOST,2037,ID,167934.4231
HIGHRECOST,2038,ID,172887.3004
HIGHRECOST,2039,ID,177285.7582
HIGHRECOST,2040,ID,181194.1412
HIGHRECOST,2041,ID,185305.7618
HIGHRECOST,2042,ID,189075.9835
HIGHRECOST,2043,ID,192624.4636
HIGHRECOST,2044,ID,195999.6849
HIGHRECOST,2045,ID,199165.0587
HIGHRECOST,2046,ID,202343.5237
HIGHRECOST,2047,ID,205534.6483
HIGHRECOST,2048,ID,208622.4286
HIGHRECOST,2049,ID,211624.2747
HIGHRECOST,2050,ID,214676.5647
