,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10
189,9185.5,8870.0,8975.0,9059.0,8677.0,8979.5,8612.5,8645.5,9074.5,8918.0
190,9127.0,8814.5,8930.5,9047.5,8652.0,8785.0,8690.5,8556.5,8961.5,8898.5
191,9140.5,8818.0,8917.5,9027.0,8667.5,8938.5,8755.0,8653.5,9014.5,9071.5
192,9009.5,8710.5,8855.5,9048.5,8730.0,8943.5,8662.5,8639.0,8983.0,9021.5
193,9097.0,8839.0,8771.5,8977.5,8739.0,8857.5,8599.5,8553.0,8987.0,8807.5
194,9139.0,8841.0,8735.5,8861.0,8547.5,8785.5,8533.5,8500.5,9053.0,8871.5
195,9041.5,8760.0,8713.0,8839.5,8628.0,8884.0,8926.0,8577.0,8803.0,8718.5
196,9075.5,8705.5,8753.5,8868.0,8706.5,8922.0,8700.0,8439.0,8866.0,8662.0
197,9084.0,8672.5,8735.5,9009.0,8627.5,8863.0,8640.5,8465.5,8902.5,8700.0
198,9073.0,8690.0,8824.0,8923.0,8672.5,8849.5,8560.5,8373.5,8858.5,8702.5
199,8975.0,8698.0,8945.5,8848.0,8618.0,8780.5,8416.0,8474.0,8867.5,8782.5
200,8871.0,8670.0,8788.0,9101.5,8762.5,8937.5,8578.0,8343.0,8837.0,8662.0
201,8914.5,8627.5,8763.5,8879.5,8611.0,8928.5,8595.0,8278.0,8751.0,8738.5
202,8934.5,8698.5,8773.5,8886.0,8572.0,8946.0,8675.0,8295.0,8783.5,8705.5
203,8843.0,8611.5,8623.5,8811.5,8547.5,8854.5,8583.0,8255.0,8675.0,8556.0
204,8896.0,8612.5,8674.5,8674.5,8488.0,8778.5,8667.0,8227.5,8791.0,8564.0
205,8863.0,8607.5,8732.0,8727.5,8492.5,8709.0,8475.5,8230.5,8676.5,8484.5
206,8736.0,8505.0,8601.0,8728.5,8513.0,8608.0,8350.0,8224.0,8631.5,8544.5
207,8755.0,8489.0,8585.5,8827.0,8587.0,8691.0,8471.0,8115.0,8566.5,8461.0
208,8759.0,8486.0,8548.0,8906.0,8573.5,8690.0,8355.5,8117.5,8519.0,8327.0
209,8713.0,8421.0,8546.5,8807.0,8515.5,8398.5,8062.0,8109.5,8546.0,8317.5
210,8623.0,8367.0,8585.0,8589.0,8246.0,8497.5,8179.5,8098.5,8500.0,8322.5
211,8632.5,8339.0,8391.5,8469.5,8368.0,8372.5,8316.5,8056.0,8387.0,8353.0
212,8573.5,8395.5,8457.5,8576.5,8219.5,8415.0,8054.0,8027.0,8400.0,8311.0
213,8589.5,8296.5,8502.0,8529.5,8311.0,8305.0,7954.0,8050.0,8476.0,8125.0
214,8487.0,8242.0,8488.5,8616.0,8369.5,8337.0,8133.0,7867.5,8494.0,8136.0
215,8516.0,8183.0,8337.0,8768.5,8476.5,8403.5,8150.0,7778.0,8301.0,8078.0
216,8361.0,8178.5,8292.0,8508.5,8356.5,8652.5,8333.5,7740.0,8212.0,8001.0
217,8307.0,8132.5,8355.5,8629.0,8250.5,8618.0,8291.0,7747.0,8176.0,7933.5
218,8432.5,8130.5,8312.0,8519.5,8198.5,8494.0,8303.5,7735.5,8256.5,8028.0
219,8287.0,8096.0,8327.0,8558.0,8269.5,8398.0,8195.5,7802.0,8144.0,8090.5
220,8236.0,8084.0,8336.5,8527.0,8142.0,8356.5,8135.5,7603.0,8062.0,7869.5
221,8198.0,8021.5,8215.0,8448.5,8190.0,8407.0,8287.5,7586.0,8046.0,7908.0
222,8235.5,8025.5,8287.5,8411.0,8117.0,8214.5,8146.0,7584.0,8100.0,7854.5
223,8248.5,8034.5,8271.0,8361.5,8096.0,8463.0,8111.0,7471.5,8034.0,7835.5
224,8274.5,8036.0,8313.0,8288.0,8084.5,8203.0,7990.0,7545.5,8059.5,7813.0
225,8169.5,7971.0,8116.5,8240.5,8027.0,8246.5,7941.5,7472.0,8091.5,7702.0
226,8092.5,7960.5,8075.5,8268.5,8004.5,8056.5,7936.0,7446.0,7974.5,7661.0
227,8064.0,7850.0,8056.5,8224.5,7953.0,8136.0,7941.0,7409.5,7846.0,7624.5
228,8013.5,7860.0,7961.0,8141.0,7920.5,8122.0,7807.0,7318.5,7897.0,7632.0
229,7862.0,7710.5,8013.0,8137.5,7802.0,7875.5,7722.5,7207.5,7725.5,7598.0
230,7800.5,7708.0,7966.5,8244.0,7901.5,7948.0,7624.5,7175.0,7665.0,7518.0
231,7831.0,7578.5,7879.5,8132.5,7835.5,8183.5,7781.0,7130.0,7579.5,7442.0
232,7706.5,7493.5,7787.5,8001.5,7855.5,7823.5,7690.0,7083.0,7513.5,7280.5
233,7733.5,7476.5,7708.5,7843.0,7790.5,7942.0,7723.0,7070.5,7475.0,7306.0
234,7754.5,7543.0,7663.0,7940.5,7710.5,8025.5,7892.5,6988.5,7635.0,7303.5
235,7647.0,7474.0,7644.0,7901.0,7635.0,7995.0,7935.0,7004.5,7504.5,7325.0
236,7585.0,7382.5,7611.5,7809.5,7573.0,7795.5,7730.0,6975.0,7441.0,7172.0
237,7569.5,7370.5,7549.5,7867.0,7675.0,7829.0,7689.5,6833.0,7392.0,7093.5
